,wl,water
0,700,0.006566666666666667
1,701,0.006733333333333333
2,702,0.0069
3,703,0.007141666666666667
4,704,0.007383333333333333
5,705,0.007625
6,706,0.007866666666666666
7,707,0.008108333333333334
8,708,0.00835
9,709,0.008591666666666666
10,710,0.008833333333333334
11,711,0.009075
12,712,0.009316666666666666
13,713,0.009558333333333332
14,714,0.0098
15,715,0.010127272727272728
16,716,0.010454545454545454
17,717,0.010781818181818182
18,718,0.011109090909090909
19,719,0.011436363636363637
20,720,0.011763636363636363
21,721,0.012090909090909091
22,722,0.012418181818181818
23,723,0.012745454545454546
24,724,0.013072727272727272
25,725,0.0134
26,726,0.014440000000000001
27,727,0.01548
28,728,0.01652
29,729,0.01756
30,730,0.018600000000000002
31,731,0.01964
32,732,0.02068
33,733,0.021720000000000003
34,734,0.022760000000000002
35,735,0.0238
36,736,0.024136363636363636
37,737,0.024472727272727274
38,738,0.02480909090909091
39,739,0.025145454545454547
40,740,0.025481818181818182
41,741,0.02581818181818182
42,742,0.026154545454545455
43,743,0.026490909090909093
44,744,0.026827272727272727
45,745,0.027163636363636362
46,746,0.0275
47,747,0.0276
48,748,0.0277
49,749,0.0278
50,750,0.0279
51,751,0.028
52,752,0.0281
53,753,0.02795
54,754,0.0278
55,755,0.02765
56,756,0.0275
57,757,0.02735
58,758,0.0272
59,759,0.027009090909090906
60,760,0.026818181818181817
61,761,0.026627272727272725
62,762,0.026436363636363636
63,763,0.026245454545454544
64,764,0.026054545454545455
65,765,0.025863636363636363
66,766,0.025672727272727274
67,767,0.025481818181818182
68,768,0.025290909090909093
69,769,0.0251
70,770,0.024925
71,771,0.02475
72,772,0.024575
73,773,0.0244
74,774,0.024225
75,775,0.024050000000000002
76,776,0.023875
77,777,0.0237
78,778,0.023525
79,779,0.02335
80,780,0.023175
81,781,0.023
82,782,0.022846153846153846
83,783,0.022692307692307692
84,784,0.02253846153846154
85,785,0.022384615384615385
86,786,0.02223076923076923
87,787,0.022076923076923077
88,788,0.021923076923076924
89,789,0.02176923076923077
90,790,0.021615384615384616
91,791,0.021461538461538462
92,792,0.02130769230769231
93,793,0.021153846153846155
94,794,0.021
95,795,0.020875
96,796,0.02075
97,797,0.020625
98,798,0.0205
99,799,0.020375
100,800,0.02025
101,801,0.020125
102,802,0.02
103,803,0.019875
104,804,0.01975
105,805,0.019625
106,806,0.0195
107,807,0.019442857142857144
108,808,0.019385714285714284
109,809,0.019328571428571428
110,810,0.01927142857142857
111,811,0.019214285714285715
112,812,0.019157142857142855
113,813,0.0191
114,814,0.019214285714285715
115,815,0.019328571428571428
116,816,0.019442857142857144
117,817,0.019557142857142856
118,818,0.019671428571428572
119,819,0.019785714285714285
120,820,0.0199
121,821,0.02073846153846154
122,822,0.021576923076923077
123,823,0.022415384615384615
124,824,0.023253846153846156
125,825,0.024092307692307694
126,826,0.024930769230769232
127,827,0.02576923076923077
128,828,0.026607692307692308
129,829,0.02744615384615385
130,830,0.028284615384615387
131,831,0.029123076923076925
132,832,0.029961538461538463
133,833,0.0308
134,834,0.03136428571428571
135,835,0.03192857142857143
136,836,0.03249285714285714
137,837,0.033057142857142854
138,838,0.03362142857142857
139,839,0.034185714285714285
140,840,0.03475
141,841,0.035314285714285715
142,842,0.035878571428571426
143,843,0.036442857142857145
144,844,0.037007142857142857
145,845,0.03757142857142857
146,846,0.03813571428571429
147,847,0.0387
148,848,0.03897333333333333
149,849,0.039246666666666666
150,850,0.03952
151,851,0.03979333333333333
152,852,0.04006666666666667
153,853,0.04034
154,854,0.040613333333333335
155,855,0.04088666666666666
156,856,0.041159999999999995
157,857,0.04143333333333333
158,858,0.04170666666666666
159,859,0.041979999999999996
160,860,0.04225333333333333
161,861,0.042526666666666664
162,862,0.0428
163,863,0.04332
164,864,0.04384
165,865,0.04436
166,866,0.044879999999999996
167,867,0.045399999999999996
168,868,0.045919999999999996
169,869,0.046439999999999995
170,870,0.04696
171,871,0.047479999999999994
172,872,0.048
173,873,0.04852
174,874,0.04904
175,875,0.04956
176,876,0.05008
177,877,0.0506
178,878,0.05124375
179,879,0.0518875
180,880,0.05253125
181,881,0.053175
182,882,0.05381875
183,883,0.0544625
184,884,0.05510625
185,885,0.05575
186,886,0.05639375
187,887,0.057037500000000005
188,888,0.05768125
189,889,0.058325
190,890,0.05896875
191,891,0.0596125
192,892,0.060256250000000004
193,893,0.0609
194,894,0.06178125
195,895,0.0626625
196,896,0.06354375
197,897,0.064425
198,898,0.06530625
199,899,0.0661875
