,wl,epi
0,700,2.4896897441604517
1,701,2.4921095723729167
2,702,2.4945294005853813
3,703,2.4922607428320376
4,704,2.4878081317766743
5,705,2.483355520721311
6,706,2.478902909665948
7,707,2.4744502986105847
8,708,2.4699976875552214
9,709,2.4655450764998585
10,710,2.4610924654444952
11,711,2.4566398543891323
12,712,2.452187243333769
13,713,2.4477346322784057
14,714,2.443282021223043
15,715,2.4388294101676795
16,716,2.434376799112316
17,717,2.4299241880569533
18,718,2.42547157700159
19,719,2.421018965946227
20,720,2.416566354890864
21,721,2.4121137438355005
22,722,2.4073517033082954
23,723,2.395901227781418
24,724,2.384450752254541
25,725,2.3730002767276637
26,726,2.3615498012007863
27,727,2.3500993256739093
28,728,2.338648850147032
29,729,2.3271983746201546
30,730,2.315747899093277
31,731,2.3042974235664
32,732,2.292846948039523
33,733,2.2813964725126454
34,734,2.2699459969857685
35,735,2.258495521458891
36,736,2.2470450459320137
37,737,2.2355945704051368
38,738,2.2241440948782594
39,739,2.2127319141360045
40,740,2.2025370012014642
41,741,2.1923420882669236
42,742,2.1821471753323833
43,743,2.1719522623978427
44,744,2.161757349463302
45,745,2.151562436528762
46,746,2.141367523594221
47,747,2.131172610659681
48,748,2.12097769772514
49,749,2.1107827847905996
50,750,2.1005878718560593
51,751,2.0903929589215187
52,752,2.080198045986978
53,753,2.0700031330524378
54,754,2.059808220117897
55,755,2.049613307183357
56,756,2.039418394248816
57,757,2.0292234813142755
58,758,2.0190285683797353
59,759,2.0088336554451947
60,760,1.9986387425106542
61,761,1.9884438295761138
62,762,1.9782489166415733
63,763,1.9680540037070329
64,764,1.9578590907724922
65,765,1.9486730518492754
66,766,1.941554084036325
67,767,1.9344351162233746
68,768,1.9273161484104242
69,769,1.9201971805974738
70,770,1.9130782127845234
71,771,1.905959244971573
72,772,1.8988402771586226
73,773,1.8917213093456722
74,774,1.8846023415327218
75,775,1.8774833737197714
76,776,1.870364405906821
77,777,1.8632454380938706
78,778,1.8561264702809201
79,779,1.8490075024679697
80,780,1.8418885346550193
81,781,1.834769566842069
82,782,1.8276505990291185
83,783,1.8205316312161681
84,784,1.8134126634032177
85,785,1.8062936955902673
86,786,1.799174727777317
87,787,1.7920557599643665
88,788,1.784936792151416
89,789,1.7778178243384657
90,790,1.770698856525515
91,791,1.7635798887125647
92,792,1.7564609208996143
93,793,1.7494867039111242
94,794,1.7426080165789448
95,795,1.7357293292467655
96,796,1.728850641914586
97,797,1.7219719545824066
98,798,1.7150932672502273
99,799,1.708214579918048
100,800,1.7013358925858686
101,801,1.6944572052536893
102,802,1.68757851792151
103,803,1.6806998305893304
104,804,1.673821143257151
105,805,1.6669424559249717
106,806,1.6600637685927924
107,807,1.653185081260613
108,808,1.6463063939284337
109,809,1.6394277065962541
110,810,1.6325490192640748
111,811,1.6256703319318955
112,812,1.6187916445997161
113,813,1.6119129572675368
114,814,1.6027400369835585
115,815,1.59134836521763
116,816,1.579956693451701
117,817,1.5685650216857725
118,818,1.557173349919844
119,819,1.545781678153915
120,820,1.5343900063879865
121,821,1.5229983346220577
122,822,1.511606662856129
123,823,1.5002149910902003
124,824,1.4888233193242717
125,825,1.477431647558343
126,826,1.4660399757924143
127,827,1.4546483040264857
128,828,1.4432566322605571
129,829,1.4318649604946283
130,830,1.4204732887286997
131,831,1.409081616962771
132,832,1.3976899451968423
133,833,1.3862982734309135
134,834,1.374906601664985
135,835,1.3635149298990563
136,836,1.3521232581331275
137,837,1.340731586367199
138,838,1.3293399146012703
139,839,1.3179482428353415
140,840,1.3066902392392892
141,841,1.2960112336655656
142,842,1.285332228091842
143,843,1.2746532225181184
144,844,1.2639742169443946
145,845,1.253295211370671
146,846,1.2426162057969474
147,847,1.2319372002232238
148,848,1.2212581946495003
149,849,1.2105791890757767
150,850,1.199900183502053
151,851,1.1892211779283295
152,852,1.178542172354606
153,853,1.1678631667808823
154,854,1.1571841612071587
155,855,1.1465051556334351
156,856,1.1358261500597115
157,857,1.125147144485988
158,858,1.1144681389122644
159,859,1.1037891333385406
160,860,1.093110127764817
161,861,1.0824311221910934
162,862,1.0717521166173698
163,863,1.0610731110436462
164,864,1.0503941054699226
165,865,1.0400198331158115
166,866,1.0304508114992041
167,867,1.020881789882597
168,868,1.0113127682659897
169,869,1.0017437466493826
170,870,0.9921747250327753
171,871,0.982605703416168
172,872,0.9730366817995608
173,873,0.9634676601829536
174,874,0.9538986385663464
175,875,0.9443296169497392
176,876,0.9347605953331319
177,877,0.9251915737165247
178,878,0.9156225520999175
179,879,0.9060535304833103
180,880,0.8964845088667031
181,881,0.8869154872500958
182,882,0.8779999300676429
183,883,0.8692579870140481
184,884,0.8605160439604534
185,885,0.8517741009068588
186,886,0.8430321578532641
187,887,0.8342902147996695
188,888,0.8255482717460748
189,889,0.8168063286924802
190,890,0.8080643856388855
191,891,0.7993224425852908
192,892,0.7905804995316962
193,893,0.7818385564781015
194,894,0.7730966134245069
195,895,0.7643546703709121
196,896,0.7556127273173174
197,897,0.7468707842637228
198,898,0.7381288412101281
199,899,0.7293868981565335
